skillID,skillName,description,skillEfficiency,ownerName
S20232981,Chess,I can tutor anyone with elo ranging from 200-1600,Master,testing2
S20232325,Math,Teach kindergarten children about abacus,Advanced,testing5
S20230765,Violin,Play violin at parties - weddings - or any small ceremonies,Adequate,testing1
S20231311,Piano,Fix broken cords and fine tune classical ones,Professional,cplusplus
S20233676,Babysitting,I can stay at your home watching 0-4 yo kids for you,Experienced,bluecheese
S20239306,Shopping,Shop for groceries - clothing - or anything,Expert,testing2
S20234879,Electricity,I can fix any household appliances you give me,Doctorate,bluecheese
S20237896,Makeup,Best with ulzzang or douyin layout,Proficient,testing4
S20232207,Cooking,Prepare food for feasts or any small-medium-big meals,Umami,testing6
S20236278,Plantcare,Deal mostly with bonsai and decorative trees,Well-trained,testing3
S20235805,Crafts,Help decorate your house for festive seasons,Artful,testing6
S20230922,Laundry,Make your stuffed animals look like new,High,testing7
S20239700,Plumbing,Kitchen sink to toilet clogs - I can plumb  anything,Knowledgeable,testing6
